"","Player","Points","Total_Rebounds","Assists","Steals","Blocks","Missed_Field_Goals","Missed_Free_Throws","Turnovers","Games","EFF","Salary"
"1","Al Horford",1249,596,263,68,121,-519,-26,-107,82,-6.86899548288269,1.2e+07
"2","Mike Muscala",195,117,34,13,27,-76,-8,-27,60,-1.69011641747551,947276
"3","Tiago Splitter",201,120,30,20,12,-74,-9,-24,36,-2.74051760579429,8500000
"4","Walter Tavares",25,21,3,1,6,-8,-5,-5,11,-1.43993787417501,1e+06
"5","Kelly Olynyk",687,281,105,52,33,-303,-32,-74,69,-4.43482223822313,2165160
"6","Tyler Zeller",364,178,29,10,22,-152,-20,-46,60,-2.3950320588885,2616975
"7","Andrea Bargnani",304,97,18,4,9,-152,-10,-26,46,-2.10918682793536,1362900
"8","Brook Lopez",1501,573,147,58,124,-566,-86,-175,73,-8.20207171219525,2e+07
"9","Henry Sims",91,72,9,9,14,-44,-5,-12,14,-3.73858943447191,161622
"10","Cameron Bairstow",34,28,6,2,3,-27,-1,-4,18,-1.07839425235854,845059
"11","Cristiano Felicio",105,102,26,6,13,-32,-10,-13,31,-1.93178927792345,525090
"12","Joakim Noah",124,255,110,18,29,-82,-23,-52,29,-5.77728277692883,13400000
"13","Pau Gasol",1187,793,294,42,146,-528,-60,-164,72,-8.70292456171574,7448760
"14","Al Jefferson",562,301,70,30,41,-260,-39,-34,47,-5.07772521727432,13833333
"15","Cody Zeller",638,455,71,57,63,-206,-57,-68,73,-4.37706370404469,4204200
"16","Frank Kaminsky",606,335,98,38,43,-310,-40,-58,81,-3.56887694019486,2612500
"17","Anderson Varejao",80,91,20,11,5,-44,-5,-16,31,-1.85923116134038,NA
"18","Channing Frye",196,93,26,8,8,-90,-3,-13,26,-2.82228724187357,7807579
"19","Sasha Kaun",23,26,3,4,5,-8,-6,-7,25,-0.816525834606334,1300000
"20","Timofey Mozgov",475,337,33,22,57,-156,-27,-71,76,-2.91269920561694,4950000
"21","JaVale McGee",172,133,3,5,26,-57,-18,-21,34,-2.29903564694051,1270964
"22","Salah Mejri",125,123,10,8,36,-29,-19,-23,34,-2.36670904924292,525093
"23","Zaza Pachulia",650,718,128,64,22,-251,-64,-119,76,-5.26591748753857,5200000
"24","J.J. Hickson",137,87,16,10,12,-54,-32,-16,20,-3.7029711844394,5613500
"25","Joffrey Lauvergne",465,290,56,13,15,-185,-7,-54,59,-3.06284101139978,1709720
"26","Jusuf Nurkic",263,175,40,24,44,-141,-38,-55,32,-5.45970906656562,1842000
"27","Nikola Jokic",796,560,189,79,50,-293,-36,-104,80,-5.41229542491898,1300000
"28","Andre Drummond",1314,1198,67,119,112,-508,-378,-155,81,-9.5085223263339,3272091
"29","Aron Baynes",514,384,51,21,52,-190,-39,-67,81,-2.97747631858284,6500000
"30","Joel Anthony",18,21,1,2,12,-4,-2,-2,19,-0.79522802099609,2500000
"31","Anderson Varejao",58,50,15,5,5,-27,-13,-6,22,-1.67287420062922,458575
"32","Andrew Bogut",375,492,162,33,114,-104,-26,-83,70,-4.52845419979334,1.2e+07
"33","Festus Ezeli",320,257,32,18,50,-103,-62,-38,46,-3.8032180281091,2008748
"34","Jason Thompson",60,54,19,4,8,-22,-12,-7,28,-1.38301375612506,6431250
"35","Marreese Speights",512,239,61,19,34,-259,-20,-66,72,-3.06535426147771,3815000
"36","Chuck Hayes",4,8,2,0,0,-1,0,-3,2,-1.97700658241974,83583
"37","Clint Capela",542,494,47,59,92,-166,-131,-60,77,-4.4058678107241,1242720
"38","Dwight Howard",976,835,98,69,113,-228,-242,-166,71,-7.98750386966571,22359364
"39","Ian Mahinmi",660,507,104,65,75,-184,-93,-100,71,-5.3731366415811,4e+06
"40","Jordan Hill",645,451,87,36,37,-271,-36,-92,73,-4.22902650787823,4e+06
"41","Myles Turner",619,332,41,25,86,-266,-33,-67,60,-4.5385999192323,2357760
"42","Cole Aldrich",328,288,50,47,68,-91,-24,-64,60,-3.74323947274139,1100600
"43","DeAndre Jordan",980,1059,90,51,177,-151,-353,-107,77,-7.75293739015636,19500000
"44","Jeff Ayres",30,22,5,0,3,-11,0,-6,17,-0.816034299438359,317232
"45","Robert Sacre",87,72,14,4,10,-44,-13,-12,25,-1.97912613673938,981348
"46","Roy Hibbert",481,398,95,32,110,-229,-28,-76,81,-3.77096663791426,15500000
"47","Tarik Black",133,157,16,14,18,-47,-26,-22,39,-2.29844732570168,845059
"48","Chris Andersen",92,89,9,14,10,-28,-10,-7,20,-2.68120324996195,5e+06
"49","Jarnell Stokes",0,2,0,0,0,0,0,0,2,-0.122725386034386,NA
"50","Marc Gasol",861,362,196,50,70,-379,-42,-118,52,-8.12002392557897,19700000
"51","Ryan Hollins",116,87,10,6,20,-27,-16,-21,32,-1.95502046778722,593056
"52","Amar'e Stoudemire",300,222,27,18,41,-96,-17,-47,52,-2.89884644220914,1499187
"53","Chris Andersen",13,9,3,1,3,-6,-1,-2,7,-1.1958389722659,NA
"54","Hassan Whiteside",1040,865,30,44,269,-269,-115,-137,73,-7.53239233352106,981348
"55","Jarnell Stokes",7,2,1,1,0,-2,-1,0,5,-0.581069097785367,NA
"56","Greg Monroe",1210,696,178,72,67,-450,-80,-129,79,-6.80967455619687,16400000
"57","John Henson",397,221,54,18,109,-127,-48,-64,57,-4.01837350830429,2943221
"58","Miles Plumlee",314,232,16,21,50,-93,-25,-40,61,-2.54023293403936,2109294
"59","Gorgui Dieng",827,585,143,94,96,-271,-43,-140,82,-5.85638629483936,1474440
"60","Karl-Anthony Towns",1503,857,161,58,138,-528,-52,-183,82,-7.70422535535879,5703600
"61","Nikola Pekovic",54,21,11,1,0,-31,-4,-9,12,-2.00691661506681,12100000
"62","Alexis Ajinca",352,269,31,19,36,-165,-10,-54,59,-2.95808940795211,4300000
"63","Kendrick Perkins",91,128,31,11,11,-35,-14,-41,37,-2.33144823829173,1499200
"64","Omer Asik",269,414,26,21,23,-91,-51,-60,68,-2.70923180654386,1.1e+07
"65","Kevin Seraphin",187,126,47,8,36,-121,-4,-43,48,-2.54182513712467,2800000
"66","Robin Lopez",842,602,114,16,129,-305,-33,-133,82,-4.97000352414908,1.3e+07
"67","Enes Kanter",1038,664,33,26,33,-305,-51,-115,82,-4.37320728365505,16400000
"68","Nazr Mohammed",8,4,0,0,0,-2,0,-3,5,-0.646145636239167,352750
"69","Steven Adams",636,533,62,42,89,-165,-82,-84,80,-4.17782142091725,2279040
"70","Dewayne Dedmon",255,228,13,22,46,-78,-19,-32,58,-2.38364870206274,947278
"71","Jason Smith",546,219,62,33,65,-259,-13,-57,76,-3.20729926667863,4300000
"72","Nikola Vucevic",1181,576,179,53,70,-513,-37,-123,65,-7.6269541072094,11250000
"73","Elton Brand",70,63,18,9,8,-41,-1,-11,17,-2.78033931457054,890693
"74","Jahlil Okafor",928,373,65,22,61,-384,-61,-124,53,-6.77231232240779,4582680
"75","Nerlens Noel",747,542,122,118,100,-281,-93,-158,67,-7.73038584352634,3457800
"76","Alex Len",703,594,97,38,62,-360,-65,-145,78,-5.21074346591956,3807120
"77","Tyson Chandler",472,576,64,36,44,-131,-65,-93,66,-4.41563253150546,1.3e+07
"78","Chris Kaman",44,24,11,1,1,-23,0,-8,16,-1.29594582661261,5e+06
"79","Mason Plumlee",749,628,226,68,85,-250,-120,-154,82,-6.2043600676827,1415520
"80","DeMarcus Cousins",1748,747,214,101,92,-731,-187,-249,65,-12.3183610101755,14728844
"81","Kosta Koufos",529,423,33,40,70,-208,-47,-48,78,-3.38917145767027,7500000
"82","Willie Cauley-Stein",463,352,37,48,66,-148,-44,-46,66,-3.71442814126737,3398280
"83","Boban Marjanovic",297,194,21,12,23,-69,-27,-29,54,-2.18022972591284,1200000
"84","Matt Bonner",76,27,9,6,1,-28,-1,-3,30,-0.879641389152779,1499187
"85","Tim Duncan",522,447,163,47,78,-226,-39,-90,61,-5.740382234745,5e+06
"86","Bismack Biyombo",454,655,29,19,133,-132,-84,-71,82,-3.76447516882545,3e+06
"87","Jason Thompson",87,80,10,8,12,-34,-4,-8,19,-2.46500626852725,328955
"88","Jonas Valanciunas",768,547,42,25,80,-233,-51,-85,60,-5.31157238097331,4660482
"89","Lucas Nogueira",65,46,7,12,12,-16,-7,-11,29,-1.50237475802112,1842000
"90","Jeff Withey",217,173,20,21,53,-75,-16,-28,51,-2.54195534423527,947276
"91","Rudy Gobert",557,668,91,45,135,-156,-122,-114,61,-6.74877536198272,1175880
"92","Tibor Pleiss",24,15,2,1,2,-14,0,-8,12,-1.14057642120494,3e+06
"93","DeJuan Blair",61,57,11,8,2,-40,-8,-15,29,-1.51182453638961,NA
"94","J.J. Hickson",69,45,7,5,2,-21,-25,-9,15,-2.50393296513223,366337
"95","Marcin Gortat",1012,741,106,47,96,-331,-61,-121,75,-6.10561908264239,11217391
"96","Ryan Hollins",8,11,0,0,1,-3,0,-3,5,-0.955397807521418,176375
"97","Kris Humphries",134,71,13,10,7,-54,-13,-14,21,3.37228359964313,388025
"98","Mike Scott",464,206,78,25,17,-200,-13,-42,75,2.74203327527247,3333333
"99","Paul Millsap",1385,732,265,147,139,-565,-99,-191,81,10.7695683035937,1.9e+07
"100","Amir Johnson",577,505,138,52,83,-177,-52,-94,79,5.32744559520476,1.2e+07
"101","David Lee",214,130,54,12,13,-105,-11,-38,30,4.31423210623168,15493680
"102","Jared Sullinger",834,673,187,75,47,-455,-58,-102,81,6.65286890507833,2269260
"103","Jonas Jerebko",340,288,62,20,24,-168,-17,-52,78,2.66248836984564,5e+06
"104","Jordan Mickey",21,13,1,0,11,-14,-5,-1,16,1.20422306811794,1200000
"105","Chris McCullough",112,68,9,28,12,-65,-12,-15,24,3.81286266435186,1140240
"106","Thaddeus Young",1102,660,135,112,37,-468,-58,-136,73,8.1678975165501,11200000
"107","Thomas Robinson",307,359,46,39,36,-161,-62,-69,71,4.05091932626691,981300
"108","Willie Reed",182,122,10,6,30,-57,-25,-16,39,2.71593169187602,947276
"109","Bobby Portis",436,337,52,25,22,-250,-18,-54,62,3.8572735341914,1391160
"110","Nikola Mirotic",777,362,100,58,46,-361,-35,-102,66,6.10669815414189,5543725
"111","Taj Gibson",627,504,106,47,77,-237,-45,-78,73,5.44805496437928,8500000
"112","Marvin Williams",948,521,110,58,77,-409,-24,-62,81,5.41747352241417,7e+06
"113","Spencer Hawes",340,244,109,22,27,-182,-11,-58,57,3.90301685999685,5543725
"114","Tyler Hansbrough",104,89,8,12,7,-39,-27,-12,44,1.81073698233488,1185784
"115","Kevin Love",1234,762,186,58,41,-568,-56,-142,77,7.85798190168108,19500000
"116","Tristan Thompson",643,738,62,38,51,-173,-93,-61,82,5.00098785839619,14260870
"117","Charlie Villanueva",319,152,24,18,15,-202,-2,-31,62,2.30131526127872,1499187
"118","David Lee",213,175,30,10,15,-52,-11,-28,25,4.47023196434511,2102224
"119","Dirk Nowitzki",1372,489,132,52,52,-614,-30,-84,75,6.72422617857857,8333334
"120","Dwight Powell",399,273,44,36,24,-150,-37,-40,69,3.2830090280815,845059
"121","Darrell Arthur",527,293,96,53,48,-268,-13,-66,70,4.42131011905964,2814000
"122","Kenneth Faried",835,581,79,32,60,-277,-86,-91,67,6.54637530354631,11235955
"123","Anthony Tolliver",383,229,52,26,16,-204,-18,-28,72,2.63917406364515,3e+06
"124","Ersan Ilyasova",589,282,55,38,27,-292,-30,-59,52,5.4135742685373,NA
"125","Justin Harper",13,1,0,1,0,-6,-1,-2,5,1.08197945922838,99418
"126","Tobias Harris",447,168,70,18,12,-182,-8,-30,27,6.27779637754587,1.6e+07
"127","Draymond Green",1131,769,598,119,113,-418,-100,-259,81,11.6595105657441,14300000
"128","James Michael McAdoo",117,58,17,10,8,-39,-23,-16,41,1.87497046651964,845059
"129","Kevon Looney",9,10,0,0,0,-3,0,-1,5,0.681204302550208,1131960
"130","Donatas Motiejunas",230,109,41,17,5,-115,-19,-44,37,3.64693098101619,2288205
"131","Josh Smith",151,67,48,16,13,-111,-13,-36,23,5.14979446215657,1499000
"132","Montrezl Harrell",140,65,17,11,11,-32,-22,-17,39,2.09174152139826,1e+06
"133","Terrence Jones",434,211,41,23,39,-201,-39,-49,50,4.64742635793658,2489530
"134","Lavoy Allen",428,424,76,26,42,-179,-27,-69,79,3.55928176740986,3700000
"135","Rakeem Christmas",4,1,0,0,0,0,0,0,1,0.462134757160867,1e+06
"136","Shayne Whittington",11,12,3,1,1,-6,-1,-5,7,1.52694061365471,845059
"137","Alex Stepheson",2,2,0,0,2,0,-2,0,4,0.904367510248112,61776
"138","Blake Griffin",749,294,170,28,17,-302,-53,-83,35,10.1220516044671,18907725
"139","Branden Dawson",5,4,0,0,1,-3,0,0,6,0.37320721201311,525093
"140","Josh Smith",181,125,42,18,34,-111,-17,-41,32,4.74170367693775,NA
"141","Luc Mbah a Moute",231,171,30,44,19,-113,-27,-34,75,2.38796202612007,1270964
"142","Brandon Bass",473,285,74,33,55,-143,-23,-42,66,3.81736322813489,3e+06
"143","Julius Randle",919,829,144,53,29,-477,-77,-149,81,7.03406903782045,3132240
"144","Larry Nance Jr.",349,312,44,54,23,-142,-15,-41,63,3.60956558594076,1155600
"145","Ryan Kelly",152,121,20,13,10,-94,-17,-18,36,2.79091913367952,1724250
"146","Alex Stepheson",20,26,2,1,3,-18,-6,0,4,4.4038342659596,30888
"147","Brandan Wright",83,43,6,5,15,-17,-11,-10,12,4.17621284817582,5500000
"148","JaMychal Green",578,373,67,46,33,-265,-34,-83,78,4.18243584725665,845059
"149","Jarell Martin",153,86,15,8,7,-62,-17,-19,27,3.00966104370752,1230840
"150","Zach Randolph",1040,529,142,43,13,-476,-44,-105,68,6.65800437186637,9638555
"151","Chris Bosh",1010,390,128,36,34,-409,-55,-78,53,7.77818609765941,22192730
"152","Josh McRoberts",150,105,81,18,7,-93,-12,-30,42,2.98185329720081,5543725
"153","Luol Deng",911,443,140,74,29,-406,-47,-81,74,6.05018053670026,10151612
"154","Udonis Haslem",59,75,14,5,2,-38,-4,-5,37,1.10080680117034,2854940
"155","Chris Copeland",50,10,11,2,0,-34,-1,-6,24,0.911392492446184,NA
"156","Jabari Parker",1070,395,130,69,29,-456,-53,-116,76,6.32761548013316,5152440
"157","Johnny O'Bryant",200,176,32,18,8,-123,-13,-31,66,1.98004709799111,845059
"158","Steve Novak",7,1,0,0,0,-4,0,0,3,0.458579401926478,416886
"159","Adreian Payne",132,111,29,16,11,-92,-9,-36,52,2.099443133255,1938840
"160","Greg Smith",43,42,6,4,1,-14,-10,-7,18,1.79295691582919,247623
"161","Kevin Garnett",122,150,62,28,10,-61,-7,-16,38,3.08328453774112,8500000
"162","Nemanja Bjelica",308,210,83,26,21,-125,-15,-47,60,3.20212772299418,4e+06
"163","Anthony Davis",1481,627,116,78,125,-576,-104,-121,61,11.3103308113806,7070730
"164","Ryan Anderson",1124,396,73,38,25,-532,-29,-90,66,6.14638203953817,8500000
"165","Kristaps Porzingis",1028,526,93,53,134,-513,-39,-121,72,7.58319501120411,4131720
"166","Kyle O'Quinn",309,250,72,20,49,-142,-14,-61,65,3.38558000716624,3750000
"167","Lance Thomas",484,131,53,22,7,-213,-17,-57,59,3.26034517302793,1650000
"168","Lou Amundson",52,49,12,6,7,-34,-13,-15,29,1.85635226769426,1650000
"169","Josh Huestis",14,10,0,1,2,-7,-4,-3,5,2.34206601151829,1140240
"170","Mitch McGary",26,18,3,1,2,-12,-6,-7,20,1.00497025968858,1463040
"171","Nick Collison",123,171,52,15,16,-59,-10,-50,59,2.24810675539606,3750000
"172","Serge Ibaka",983,533,66,38,148,-453,-30,-108,78,6.44019719924265,12350000
"173","Steve Novak",17,4,0,0,0,-6,0,-1,7,0.516351518305898,NA
"174","Aaron Gordon",719,507,128,59,55,-305,-64,-66,78,5.50097327854369,4171680
"175","Andrew Nicholson",384,201,25,10,22,-164,-14,-41,56,2.90428074096614,2380594
"176","Channing Frye",229,141,45,21,20,-105,-2,-30,44,2.97207748823053,NA
"177","Ersan Ilyasova",178,121,12,14,6,-89,-13,-12,22,4.07493361015504,7900000
"178","Tobias Harris",669,342,99,47,28,-290,-33,-78,49,6.87497722549505,NA
"179","Carl Landry",351,146,32,12,9,-111,-24,-22,36,3.70786647786713,6500000
"180","Christian Wood",61,38,3,5,7,-31,-8,-2,17,2.07743154275916,305789
"181","Richaun Holmes",287,135,33,19,40,-108,-23,-32,51,3.18438770163301,1050000
"182","Alan Williams",29,38,5,4,5,-14,-5,-6,10,2.82355993425807,114285
"183","Cory Jefferson",22,16,0,0,1,-13,-2,0,8,1.09969563016319,421449
"184","Jon Leuer",567,373,72,38,30,-242,-24,-75,67,4.45910493053833,1035000
"185","Kris Humphries",29,32,7,3,2,-26,-2,-4,4,5.73176967534603,4600000
"186","Markieff Morris",430,194,87,33,17,-260,-26,-90,37,7.1856901954225,NA
"187","Mirza Teletovic",965,302,89,32,21,-445,-35,-84,79,4.57565124803145,5500000
"188","Cliff Alexander",10,6,0,1,2,-5,0,-1,8,0.714439542813482,525093
"189","Ed Davis",526,599,88,57,72,-131,-90,-64,81,5.13667040502792,7e+06
"190","Meyers Leonard",511,314,92,8,18,-240,-11,-77,61,3.96604179590103,3075880
"191","Noah Vonleh",283,305,30,27,26,-161,-13,-50,78,2.5368173115006,2637720
"192","Eric Moreland",8,11,1,0,4,-3,-2,-3,8,1.22076934647574,845059
"193","Quincy Acy",307,188,27,29,24,-95,-18,-27,59,2.69628380735607,981348
"194","Boris Diaw",485,233,176,26,21,-181,-20,-97,76,3.78985836662925,7e+06
"195","David West",554,309,143,44,55,-204,-17,-68,78,4.09605427102601,1499000
"196","LaMarcus Aldridge",1331,632,110,38,81,-509,-43,-99,74,7.0969281439239,19500000
"197","Anthony Bennett",28,23,0,5,0,-19,-1,-4,19,0.930836173844031,947276
"198","James Johnson",287,126,67,29,33,-126,-29,-54,57,3.52265580353109,2500000
"199","Luis Scola",664,360,66,46,27,-329,-23,-68,76,4.18081946825965,3e+06
"200","Patrick Patterson",543,342,94,53,32,-289,-5,-65,79,3.82315573898797,6268675
"201","Derrick Favors",1016,503,94,74,91,-393,-74,-104,62,8.55747241364178,11933333
"202","Trevor Booker",463,452,84,59,41,-198,-35,-81,79,4.33936389931047,4775000
"203","Trey Lyles",488,299,59,26,18,-245,-25,-65,80,3.12838657692826,2239800
"204","Drew Gooden",82,85,13,8,11,-70,-5,-13,30,2.16766657743578,3300000
"205","Jared Dudley",638,286,170,75,18,-254,-26,-80,81,4.46129359593853,4250000
"206","Kris Humphries",180,115,16,3,14,-94,-2,-20,28,2.90567395953875,NA
"207","Markieff Morris",335,158,37,25,17,-153,-13,-45,27,6.23592105579654,8e+06
"208","Nene Hilario",525,259,97,54,26,-175,-78,-76,57,5.88668924056167,1.3e+07
"209","Dennis Schroder",879,204,349,70,9,-452,-38,-183,80,-4.90336283779283,1763400
"210","Jeff Teague",1239,214,470,97,24,-554,-51,-218,79,-6.52407062850109,8e+06
"211","Kirk Hinrich",5,12,14,2,1,-9,0,-3,11,-0.988322824501702,2870000
"212","Shelvin Mack",93,22,38,8,0,-55,-3,-14,24,-1.61895439326273,NA
"213","Isaiah Thomas",1823,243,509,91,9,-791,-70,-220,82,-7.19973890975479,6912869
"214","Marcus Smart",558,255,185,91,18,-345,-37,-80,61,-5.38606607623958,3431040
"215","Terry Rozier",72,63,37,6,1,-77,-2,-19,39,-1.34107695548346,1824360
"216","Donald Sloan",424,173,268,32,4,-196,-26,-80,61,-3.64114711584885,1015421
"217","Jarrett Jack",411,136,236,34,7,-218,-12,-94,32,-6.55451943253749,6300000
"218","Shane Larkin",566,180,342,95,12,-280,-24,-146,78,-4.30137673846137,1500000
"219","Aaron Brooks",491,101,180,30,10,-281,-15,-82,69,-2.97388536478982,2e+06
"220","Derrick Rose",1080,225,311,44,14,-601,-37,-175,66,-6.22827777361729,20093063
"221","Kirk Hinrich",132,58,59,13,1,-71,-1,-27,35,-1.84259450712375,NA
"222","Brian Roberts",145,29,38,7,1,-64,-3,-16,30,-1.55706452635521,NA
"223","Jorge Gutierrez",22,7,17,3,0,-5,-1,-6,12,-0.986075249962783,301444
"224","Kemba Walker",1689,357,421,126,39,-763,-67,-171,81,-7.8673397963248,1.2e+07
"225","Jordan McRae",62,12,15,0,1,-29,-4,-9,15,-1.45412781958639,172972
"226","Kyrie Irving",1041,157,249,56,18,-485,-22,-124,53,-6.52033444095184,14746000
"227","Matthew Dellavedova",569,162,337,44,9,-304,-9,-116,76,-3.56022923794514,1147280
"228","Mo Williams",338,72,98,14,5,-170,-4,-57,41,-2.98150012583844,2100000
"229","Deron Williams",918,190,378,61,14,-454,-27,-150,65,-5.76347428973654,5500000
"230","Devin Harris",487,138,118,60,13,-207,-39,-66,64,-3.62046491838449,4053000
"231","J.J. Barea",808,152,302,26,2,-394,-22,-113,74,-3.75192066252784,4e+06
"232","Raymond Felton",763,258,284,68,15,-405,-27,-121,80,-4.43572002086617,3950313
"233","D.J. Augustin",325,52,132,25,2,-127,-17,-54,28,-4.57691305658179,3e+06
"234","Emmanuel Mudiay",872,232,372,65,35,-576,-69,-217,68,-7.25618452696616,3102240
"235","Erick Green",0,1,1,0,0,-1,0,0,3,-0.18589925697525,1e+05
"236","Jameer Nelson",299,115,190,25,5,-194,-5,-66,39,-4.12077168242577,4500000
"237","Brandon Jennings",157,46,70,11,2,-90,-11,-22,23,-3.20631304353236,NA
"238","Reggie Jackson",1489,253,492,59,11,-704,-46,-223,79,-6.57840861948936,1.4e+07
"239","Spencer Dinwiddie",58,17,22,3,0,-35,-14,-7,12,-2.73676745313221,845059
"240","Steve Blake",254,89,200,24,5,-147,-4,-81,58,-2.59745654881474,2170465
"241","Shaun Livingston",488,169,237,57,27,-176,-13,-78,78,-3.2739099193087,5543725
"242","Stephen Curry",2375,430,527,169,15,-793,-37,-262,79,-9.1947339755025,11370786
"243","Andrew Goudelock",22,2,4,6,2,-11,-1,-7,8,-1.83074743648273,200600
"244","Patrick Beverley",700,250,239,94,26,-336,-28,-91,71,-4.98235443481068,6500000
"245","Ty Lawson",309,89,180,43,6,-176,-24,-82,53,-3.51338202990732,12404495
"246","George Hill",894,298,259,83,17,-413,-36,-101,74,-5.17112321101759,8e+06
"247","Joseph Young",154,50,65,15,0,-107,-5,-33,41,-1.84414240503595,1e+06
"248","Rodney Stuckey",517,156,142,43,8,-260,-27,-76,58,-3.88230751982053,6500000
"249","Ty Lawson",64,31,57,10,1,-39,-3,-13,13,-3.26306992409521,265058
"250","Chris Paul",1446,310,738,152,13,-599,-34,-194,74,-8.09984950017385,21468696
"251","Pablo Prigioni",145,114,130,53,1,-92,-1,-49,59,-2.19932641562426,981348
"252","D'Angelo Russell",1054,274,266,93,13,-564,-50,-196,80,-5.7545242846022,5103120
"253","Marcelo Huertas",237,90,182,26,7,-133,-2,-80,53,-2.77608134270361,525093
"254","Beno Udrih",47,9,26,3,1,-26,0,-11,8,-2.62108385570712,NA
"255","Briante Weber",29,24,20,9,3,-25,-1,-9,6,-4.9169045453806,30888
"256","Bryce Cotton",4,0,0,0,0,0,0,0,5,-0.0494687801288366,64622
"257","Elliot Williams",8,4,4,0,0,-8,-1,-1,5,-0.906205407076032,55722
"258","Jordan Farmar",110,25,37,15,2,-58,0,-18,12,-3.97246968537548,191456
"259","Mario Chalmers",595,143,211,80,12,-240,-43,-101,55,-5.24865531432239,4300000
"260","Mike Conley",857,164,342,67,16,-402,-38,-84,56,-6.07656128509646,9588426
"261","Ray McCallum",69,16,27,7,3,-51,-2,-13,10,-3.58888439672589,111444
"262","Russ Smith",23,9,11,5,1,-15,-5,-7,15,-1.29147896917976,816482
"263","Beno Udrih",158,63,90,11,0,-86,-2,-42,36,-2.18216934927986,2170465
"264","Briante Weber",2,1,1,0,0,0,0,0,1,-0.536848501789678,12355
